1950,900.58
1951,625.78
1952,840.22
1953,1124.42
1954,1055.55
1955,1296.12
1956,991.1
1957,746.16
1958,830.7
1959,678.95
1960,1112.47
1961,1325.61
1962,973.56
1963,662.26
1964,897.1
1965,866.16
1966,902.07
1967,968.31
1968,818.64
1969,797.52
1970,1066.04
1971,1279.79
1972,873.71
1973,887.03
1974,572.93
1975,1307.8
1976,716.65
1977,896.77
1978,1352.45
1979,656.94
1980,1766.5
1981,922.33
1982,1408.19
1983,1250.6
1984,900.74
1985,1510.68
1986,715.09
1987,645.38
1988,1006.91
1989,611.72
1990,829.47
1991,873.89
1992,808.72
1993,632.12
1994,708.39
1995,616.7
1996,685.11
1997,374.04
1998,215.1
1999,584.3
2000,375.41
2001,912.75
2002,678.73
2003,893.71
2004,594.66
2005,466.12
2006,270.14
2007,675.78
2008,1063.42
2009,895.32
2010,915.21
